img_size,img_number,preprocessing,model,model_params,accuracy_score,recall_score,f1_score,f2_score,roc_auc_score
128,2000,local_equalize_hist,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7106060606060606,0.7370030581039755,0.7161961367013373,0.7285368802902056,0.753854772203396
128,2000,local_equalize_hist,LogisticRegression,"[[], {'max_iter': 1000}]",0.6393939393939394,0.672782874617737,0.6489675516224189,0.6630500301386377,0.6942171529327492
128,2000,local_equalize_hist,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6484848484848484,0.6788990825688074,0.6568047337278107,0.6698853349426674,
128,2000,local_equalize_hist,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7257575757575757,0.8037974683544303,0.737300435413643,0.7758094074526573,0.7810200176626435
128,2000,local_equalize_hist,LogisticRegression,"[[], {'max_iter': 1000}]",0.6651515151515152,0.6993670886075949,0.6666666666666666,0.685909373060211,0.697959596702973
128,2000,local_equalize_hist,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6348484848484849,0.6645569620253164,0.6354009077155824,0.6525792417650714,
128,2000,hog,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6984848484848485,0.7425149700598802,0.7136690647482015,0.7307012374779022,0.744838543771353
128,2000,hog,LogisticRegression,"[[], {'max_iter': 1000}]",0.6984848484848485,0.7275449101796407,0.7094890510948905,0.7202133965619443,0.7510929062121158
128,2000,hog,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6924242424242424,0.7065868263473054,0.6992592592592592,0.7036374478234944,
128,2000,hog,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7121212121212122,0.746177370030581,0.7197640117994101,0.7353827606992164,0.7916632228558834
128,2000,hog,LogisticRegression,"[[], {'max_iter': 1000}]",0.6696969696969697,0.691131498470948,0.6746268656716418,0.6844336765596608,0.7370581590765077
128,2000,hog,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6515151515151515,0.6574923547400612,0.6515151515151515,0.6550883607556368,
128,2000,hog,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6818181818181818,0.7848101265822784,0.7025495750708215,0.7496977025392987,0.7638265381218723
128,2000,hog,LogisticRegression,"[[], {'max_iter': 1000}]",0.6893939393939394,0.7373417721518988,0.6944858420268256,0.7195799876466955,0.7495216367382985
128,2000,hog,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6606060606060606,0.6962025316455697,0.6626506024096386,0.6823821339950372,
128,3000,"hog, local_equalize_hist, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7313131313131314,0.7374749498997996,0.7345309381237525,0.7362945178071229,0.7862915239848332
128,3000,"hog, local_equalize_hist, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.6434343434343435,0.6312625250501002,0.6408952187182095,0.6350806451612904,0.6949969184805457
128,3000,"hog, local_equalize_hist, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6545454545454545,0.655310621242485,0.6566265060240963,0.6558363417569194,
128,3000,"hog, local_equalize_hist",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.704040404040404,0.7003968253968254,0.7067067067067067,0.7029072082835524,0.7723234698543341
128,3000,"hog, local_equalize_hist",LogisticRegression,"[[], {'max_iter': 1000}]",0.6303030303030303,0.6349206349206349,0.6361829025844931,0.6354249404289118,0.6646376314586191
128,3000,"hog, local_equalize_hist",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6272727272727273,0.6468253968253969,0.6385896180215475,0.6435057244374259,
128,3000,"hog, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7222222222222222,0.7270955165692008,0.7306562193927522,0.728515625,0.7963024262262925
128,3000,"hog, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.6848484848484848,0.6608187134502924,0.6848484848484848,0.6702253855278766,0.7456814643176775
128,3000,"hog, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6767676767676768,0.6530214424951267,0.6767676767676768,0.6623171213918545,
128,3000,"local_equalize_hist, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.703030303030303,0.7017892644135189,0.706,0.7034675169390195,0.7634378533725776
128,3000,"local_equalize_hist, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.602020202020202,0.6063618290258449,0.6075697211155379,0.6068444090728213,0.6538306097705349
